# This list needs work!!
alligator,eusuchian
ant,myrmecine
anteater,myrmecophagine
antelope,alcelaphine
ape,simian
armadillo,tolypeutine
ass,asinine
badger,musteline
barracuda,percesocine
bat,pteropine
bear,ursine
bee,apian
bird,avian
bison,bisontine
blackbird,icterine
bluebird,turdine
buffalo,bovine
bull,taurine
bullfinch,pyrrhuline
bunting,emberizine
butterfly,pieridine
buzzard,buteonine
calf,vituline
cat,feline
chamois,rupicaprine
chicken,galline
civet,viverrine
cobra,elapine
cormorant,phalacrocoracine
cow,bovine
crab,cancrine
crane,alectorine
crocodile,crocodilian
crow,corvine
cuckoo,cuculine
deer,cervine
dodo,didine
dog,canine
dolphin,delphine
donkey,asinine
dormouse,myoxine
dove,columbine
dragon,draconine
duck,anatine
eagle,aquiline
earthworm,lumbricine
elephant,elephantine
elk,cervine
emu,ratite
ermine,musteline
falcon,acciptrine
ferret,musteline
finch,fringilline
fish,piscine
flea,pulicine
flamingo,phoenicopterine
flying fox,pteropine
fox,vulpine
frog,ranine
gazelle,gazelline
gerbil,cricetine
gibbon,hylobatine
giraffe,giraffine
goat,caprine
goose,anatine
gull,larine
hamster,cricetine
hare,leporine
hawk,accipitrine
hippopotamus,hippopotamine
hog,suilline
hornet,vespine
horse,equine
human,humanoid
hummingbird,trochiline
hyena,hyenine
iguana ,iguanian
insect,insectile
jay,garruline
kangaroo,macropodine
kestrel,falconine
kingfisher,halcyonine
kite,milvine
leech,hirudine
lemming,microtine
lemur,lemurine
leopard,pardine
limpet,patelline
lion,leonine
lizard,saurian
lobster,homarine
louse,pediculine
macaw,psittacine
macropod,macropodian
magpie,garruline
mallard,anatine
manatee,manatine
marten,musteline
martin,hirundine
meadowlark,icterine
mink,musteline
mite,acarine
mockingbird,mimine
mole,talpine
mongoose,viverrine
monkey,simian
moose,cervine
mosquito,aedine
moth,arctian
mouse,murine
nightingale,philomelian
octopus,octopine
opossum,didelphine
oriole,icterine
oryx,orygine
ostrich,ratite
otter,musteline
ox,bovine
oyster,ostracine
panther,pantherine
parrot-psittacine
partridge,perdicine
peacock,pavonine
pheasant,alectorine
pig,porcine
pigeon,pullastrine
platypus,ornithorhynchine
plover,charadrine
polecat,musteline
porcupine,hystricine
porpoise,phocaenine
python,pythonine
quail,coturnine
rabbit,leporine
raccoon,procyonine
rail ,ralline
ram,arietine
rat,murine
raven,corvine
rattlesnake,crotaline
reptile,reptilian
reindeer,rangiferine
rhea,struthious
rhinoceros,ceratorhine
robin,turdine
rodent,glirine
roebuck,capreoline
sable,zibeline
salamander,salamandrine
salmon,salmonid
sea horse,hippocampine
sea lion,otarine
seal,phocine
serpent,serpentine
sheep,ovine
shrew,soricine
silkworm,bombycine
skunk,musteline
skylark,alaudine
slug,limacine
smelt,atherine
snake,serpentine
snipe,charadrine
songbird,oscine
sparrow,passerine
spider,arachnoid
squirrel,sciurine
stag,cervine
stoat,musteline
stork,ciconine
sturgeon,acipenserine
swallow,hirundine
swan,anatine
swift,cypseline
termite,termitine
tick,acarine
tiger,tigrine
toad,ranine
tortoise,chelonian
turkey,meleagrine
turtle,chelonian
umbrellabird,cephalopterine
vole,microtine
vulture,vulturine
viper,viperine
wasp,vespine
weasel,musteline
whale,cetacean
wolf,lupine
wombat,phascolomian
woodcock,charadrine
worm,helminthic
wren,troglodytine
x-ray fish,tetragonopterinine
yak,bovine
zebra,zebrine
