# Capitals and a corresponding country.
# This is not well-defined in all cases.
# This list includes a few historical entries and variant spellings.
Abu Dhabi,United Arab Emirates
Abuja,Nigeria
Accra,Ghana
Addis Ababa,Ethiopia
Algiers,Algeria
Amman,Jordan
Amsterdam,Netherlands
Andorra la Vella,Andorra
Ankara,Turkey
Antananarivo,Madagascar
Apia,Samoa
Ashgabat,Turkmenistan
Asmara,Eritrea
Astana,Kazakhstan
Asuncion,Paraguay
Athens,Greece
Baghdad,Iraq
Baku,Azerbaijan
Bamako,Mali
Bandar Seri Begawan,Brunei
Bangkok,Thailand
Bangui,Central African Republic
Banjul,Gambia
Basseterre,Saint Kitts and Nevis
Beijing,China
Beirut,Lebanon
Belfast,Northern Ireland
Belgrade,Serbia
Belmopan,Belize
Berlin,Germany
Bern,Switzerland
Bishkek,Kyrgyzstan
Bissau,Guinea-Bissau
Bloemfontein,South Africa,
Bogota,Colombia
Brasilia,Brazil
Bratislava,Slovakia
Brazzaville,Congo
Bridgetown,Barbados
Brussels,Belgium
Bucharest,Romania
Budapest,Hungary
Buenos Aires,Argentina
Cairo,Egypt
Canberra,Australia
Cape Town,South Africa
Caracas,Venezuela
Cardiff,Wales
Castries,Saint Lucia
Chisinau,Moldova
Colombo,Sri Lanka
Conakry,Guinea
Copenhagen,Denmark
Dakar,Senegal
Damascus,Syria
Dhaka,Bangladesh
Dili,East Timor
Djibouti,Djibouti
Dodoma,Tanzania
Doha,Qatar
Dublin,Ireland
Dushanbe,Tajikistan
Edinburgh,Scotland
Freetown,Sierra Leone
Funafuti,Tuvalu
Gaborone,Botswana
Georgetown,Guyana
Gitega,Burundi
Guatemala City,Guatemala
Hanoi,Vietnam
Harare,Zimbabwe
Havana,Cuba
Helsinki,Finland
Honiara,Solomon Islands
Islamabad,Pakistan
Jakarta,Indonesia
Jerusalem,Israel
Jerusalem,Palestine
Juba,South Sudan
Kabul,Afghanistan
Kampala,Uganda
Kathmandu,Nepal
Khartoum,Sudan
Kiev,Ukraine
Kigali,Rwanda
Kingston,Jamaica
Kingstown,Saint Vincent and the Grenadines
Kinshasa,Congo
Kuala Lumpur,Malaysia
Kuwait City,Kuwait
Kyiv,Ukraine
La Paz,Bolivia
Libreville,Gabon
Lilongwe,Malawi
Lima,Peru
Lisbon,Portugal
Ljubljana,Slovenia
Lome,Togo
London,England
London,United Kingdom
Luanda,Angola
Lusaka,Zambia
Luxembourg,Luxembourg
Madrid,Spain
Majuro,Marshall Islands
Malabo,Equatorial Guinea
Male,Maldives
Managua,Nicaragua
Manama,Bahrain
Manila,Philippines
Maputo,Mozambique
Maseru,Lesotho
Mbabana,Eswatini
Melekeok,Palau
Mexico City,Mexico
Minsk,Belarus
Mogadishu,Somalia
Monaco,Monaco
Monrovia,Liberia
Montevideo,Uruguay
Moroni,Comoros
Moscow,Russia
Muscat,Oman
N'Djamena,Chad
Nairobi,Kenya
Nassau,Bahamas
Nay Pyi Taw,Myanmar
New Delhi,India
Niamey,Niger
Nicosia,Cyprus
Nouakchott,Mauritania
Nuku'alofa,Tonga
Oslo,Norway
Ottawa,Canada
Ouagadougou,Burkina Faso
Palikir,Federated States of Micronesia
Panama City,Panama
Paramaribo,Suriname
Paris,France
Phnom Penh,Cambodia
Podgorica,Montenegro
Port Louis,Mauritius
Port Moresby,Papua New Guinea
Port Vila,Vanuatu
Port au Prince,Haiti
Port of Spain,Trinidad and Tobago
Porto Novo,Benin
Prague,Czech Republic
Praia,Cape Verde
Pretoria,South Africa
Pristina,Kosovo
Pyongyang,North Korea
Quito,Ecuador
Rabat,Morocco
Reykjavik,Iceland
Riga,Latvia
Riyadh,Saudi Arabia
Rome,Italy
Roseau,Dominica
Saint George's,Grenada
Saint John's,Antigua and Barbuda
San Jose,Costa Rica
San Marino,San Marino
San Salvador,El Salvador
Sana'a,Yemen
Santiago,Chile
Santo Domingo,Dominican Republic
Sao Tome,Sao Tome and Principe
Sarajevo,Bosnia and Herzegovina
Seoul,South Korea
Singapore,Singapore
Skopje,Macedonia
Sofia,Bulgaria
Sri Jayawardenapura Kotte,Sri Lanka
St George's,Grenada
St John's,Antigua and Barbuda
St. George's,Grenada
St. John's,Antigua and Barbuda
Stockholm,Sweden
Sucre,Bolivia
Suva,Fiji
Taipei,Taiwan
Tallinn,Estonia
Tarawa Atoll,Kiribati
Tashkent,Uzbekistan
Tbilisi,Georgia
Tegucigalpa,Honduras
Tehran,Iran
Thimphu,Bhutan
Tirana,Albania
Tokyo,Japan
Tripoli,Libya
Tunis,Tunisia
Ulaanbaatar,Mongolia
Vaduz,Liechtenstein
Valletta,Malta
Vatican City,Vatican City
Victoria,Seychelles
Vienna,Austria
Vientiane,Laos
Vilnius,Lithuania
Warsaw,Poland
Washington D.C.,United States
Washington DC,United States
Washington,United States
Wellington,New Zealand
Windhoek,Namibia
Yamoussoukro,Ivory Coast
Yaounde,Cameroon
Yerevan,Armenia
Zagreb,Croatia
