31700000 Hervé
17000000 Karl Marx
13300000 John Williams
12600000 Hans Zimmer
12600000 A. R. Rahman
11000000 Johann Sebastian Bach
10800000 Yanni
10400000 John Adams
9500000 Wolfgang Amadeus Mozart
9310000 Ludwig van Beethoven
9250000 Frank Zappa
9070000 John Holmes
8450000 Giuseppe Verdi
8060000 Richard Wagner
8030000 Ennio Morricone
7710000 Laurie Anderson
6410000 Caetano Veloso
6250000 Jean-Jacques Rousseau
6070000 William Smith
5700000 David Foster
5390000 Robert Johnson
5050000 Franz Schubert
4690000 Edward Elgar
4540000 Antonio Vivaldi
4510000 Franz Liszt
4390000 John White
4190000 John Wilson
3990000 William Walker
3960000 Willy Brandt
3810000 Johannes Brahms
3740000 Richard Strauss
3620000 Grimace
3530000 Robert Schumann
2860000 George Enescu
2520000 Elvis Costello
2500000 Carpentras
2180000 John Young
2150000 Leonard Bernstein
1450000 Josef Strauss
1430000 Richard Rodgers
1300000 Albert Hammond
1270000 Ludovico Einaudi
1220000 Ricardo Montaner
1170000 Giacomo Puccini
1090000 Jacques Brel
1080000 Baden Powell
1060000 Giorgio Moroder
1030000 Andrew Lloyd Webber
1020000 Carole King
947000 James Wilson
942000 Dave Smith
938000 Aphex Twin
926000 Claude Debussy
922000 Nile Rodgers
922000 Antonio José
900000 John Cage
900000 Danny Elfman
898000 Jean Michel Jarre
880000 James Horner
869000 William Turner
862000 Philip Glass
851000 Carlos Gardel
838000 Gustav Mahler
837000 Cole Porter
833000 Mike Oldfield
831000 Count Basie
825000 Joseph Haydn
815000 Frédéric Chopin
806000 George Gershwin
792000 John Maynard
789000 Maurice Ravel
771000 Lucio Dalla
770000 R D Burman
769000 Anne Boleyn
764000 Felix Mendelssohn
757000 Thelonious Monk
745000 John Barry
729000 Stephen Sondheim
722000 Dave Brubeck
717000 Engelbert Humperdinck
714000 Igor Stravinsky
712000 Henry Mancini
711000 Glenn Gould
704000 Richard Harris
699000 Benjamin Britten
691000 Vishal Bhardwaj
688000 Dwight Yoakam
686000 Arvo Pärt
664000 Burt Bacharach
662000 Yuvan Shankar Raja
660000 Irving Berlin
656000 Howard Shore
645000 Robert Jones
640000 Manuel de Falla
638000 S D Burman
