zéro,zero
un,one
deux,two
trois,three
quatre,four
cinq,five
six,six
sept,seven
huit,eight
neuf,nine
dix,ten
onze,eleven
douze,twelve
treize,thirteen
quatorze,fourteen
quinze,fifteen
seize,sixteen
dix-sept,seventeen
dix-huit,eighteen
dix-neuf,nineteen
vingt,twenty
vingt et un,twenty-one
vingt-deux,twenty-two
vingt-trois,twenty-three
vingt-quatre,twenty-four
vingt-cinq,twenty-five
vingt-six,twenty-six
vingt-sept,twenty-seven
vingt-huit,twenty-eight
vingt-neuf,twenty-nine
trente,thirty
trente et un,thirty-one
trente-deux,thirty-two
trente-trois,thirty-three
trente-quatre,thirty-four
trente-cinq,thirty-five
trente-six,thirty-six
trente-sept,thirty-seven
trente-huit,thirty-eight
trente-neuf,thirty-nine
quarante,forty
quarante et un,forty-one
quarante-deux,forty-two
quarante-trois,forty-three
quarante-quatre,forty-four
quarante-cinq,forty-five
quarante-six,forty-six
quarante-sept,forty-seven
quarante-huit,forty-eight
quarante-neuf,forty-nine
cinquante,fifty
cinquante et un,fifty-one
cinquante-deux,fifty-two
cinquante-trois,fifty-three
cinquante-quatre,fifty-four
cinquante-cinq,fifty-five
cinquante-six,fifty-six
cinquante-sept,fifty-seven
cinquante-huit,fifty-eight
cinquante-neuf,fifty-nine
soixante,sixty
soixante et un,sixty-one
soixante-deux,sixty-two
soixante-trois,sixty-three
soixante-quatre,sixty-four
soixante-cinq,sixty-five
soixante-six,sixty-six
soixante-sept,sixty-seven
soixante-huit,sixty-eight
soixante-neuf,sixty-nine
soixante-dix,seventy
soixante et onze,seventy-one
soixante-douze,seventy-two
soixante-treize,seventy-three
soixante-quatorze,seventy-four
soixante-quinze,seventy-five
soixante-seize,seventy-six
soixante-dix-sept,seventy-seven
soixante-dix-huit,seventy-eight
soixante-dix-neuf,seventy-nine
quatre-vingts,eighty
quatre-vingt-un,eighty-one
quatre-vingt-deux,eighty-two
quatre-vingt-trois,eighty-three
quatre-vingt-quatre,eighty-four
quatre-vingt-cinq,eighty-five
quatre-vingt-six,eighty-six
quatre-vingt-sept,eighty-seven
quatre-vingt-huit,eighty-eight
quatre-vingt-neuf,eighty-nine
quatre-vingt-dix,ninety
quatre-vingt-onze,ninety-one
quatre-vingt-douze,ninety-two
quatre-vingt-treize,ninety-three
quatre-vingt-quatorze,ninety-four
quatre-vingt-quinze,ninety-five
quatre-vingt-seize,ninety-six
quatre-vingt-dix-sept,ninety-seven
quatre-vingt-dix-huit,ninety-eight
quatre-vingt-dix-neuf,ninety-nine
cent,one hundred
