#@golfers
Nicklaus,Jack
Woods,Tiger
Snead,Sam
Hogan,Ben
Palmer,Arnold
Player,Gary
Nelson,Byron
Hagan,Walter
Mickelson,Phil
Watson,Tom
Sarazen,Gene
Casper,Billy
Els,Ernie
Norman,Greg
Singh,Vijay
Ballesteros,Seve
Thomson,Peter
McIlroy,Rory
Mangrum,Lloyd
Locke,Bobby
Middlecoff,Cary
Trevino,Lee
Demaret,Jimmy
Smith,Horton
Langer,Bernhard
Faldo,Nick
Littler,Gene
Price,Nick
Johnson,Dustin
Runyan,Paul
Floyd,Raymond
Garcia,Sergio
Kite,Tom
Westwood,Lee
Miller,Johnny
Crenshaw,Ben
Armour,Tommy
Scott,Adam
Boros,Julius
Love III,Davis
Rose,Justin
Couples,Fred
Furyk,Jim
Wadkins,Lanny
Montgomery,Colin
Weiskopf,Tom
Olazabal,Jose
Goosen,Retief
Rahm,Jon
Sanders,Doug
Ford,Doug
Woosnam,Ian
Green,Hubert
Charles,Bob
Sorenstam,Annika
Park,Inbee
Wright,Mickey
Lopez,Nancy
King,Betsy
Inkster,Juli
Webb,Karrie
Whitworth,Kathy
Rawls,Betsy
Ko,Lydia
