#@languages
Abkhazian,abk,ab
Afrikaans,afr,af
Akan,aka,ak
Amharic,amh,am
Arabic,ara,ar
Aragonese,arg,an
Assamese,asm,as
Avaric,ava,av
Avestan,ave,ae
Aymara,aym,ay
Azerbaijani,aze,az
Bashkir,bak,ba
Bambara,bam,bm
Belarusian,bel,be
Bengali,ben,bn
Bislama,bis,bi
Tibetan,bod,bo
Bosnian,bos,bs
Breton,bre,br
Bulgarian,bul,bg
Catalan,cat,ca
Czech,ces,cs
Chamorro,cha,ch
Chechen,che,ce
Church Slavic,chu,cu
Chuvash,chv,cv
Cornish,cor,kw
Corsican,cos,co
Cree,cre,cr
Welsh,cym,cy
Danish,dan,da
German,deu,de
Dhivehi,div,dv
Dzongkha,dzo,dz
Modern Greek,ell,el
English,eng,en
Esperanto,epo,eo
Estonian,est,et
Basque,eus,eu
Ewe,ewe,ee
Faroese,fao,fo
Persian,fas,fa
Fijian,fij,fj
Finnish,fin,fi
French,fra,fr
Western Frisian,fry,fy
Fulah,ful,ff
Scottish Gaelic,gla,gd
Irish,gle,ga
Galician,glg,gl
Manx,glv,gv
Guarani,grn,gn
Gujarati,guj,gu
Haitian,hat,ht
Hausa,hau,ha
Serbo-Croatian,hbs,sh
Hebrew,heb,he
Herero,her,hz
Hindi,hin,hi
Hiri Motu,hmo,ho
Croatian,hrv,hr
Hungarian,hun,hu
Armenian,hye,hy
Igbo,ibo,ig
Ido,ido,io
Sichuan Yi,iii,ii
Inuktitut,iku,iu
Interlingue,ile,ie
Interlingua,ina,ia
Indonesian,ind,id
Inupiaq,ipk,ik
Icelandic,isl,is
Italian,ita,it
Javanese,jav,jv
Japanese,jpn,ja
Kalaallisut,kal,kl
Kannada,kan,kn
Kashmiri,kas,ks
Georgian,kat,ka
Kanuri,kau,kr
Kazakh,kaz,kk
Central Khmer,khm,km
Kikuyu,kik,ki
Kinyarwanda,kin,rw
Kirghiz,kir,ky
Komi,kom,kv
Kongo,kon,kg
Korean,kor,ko
Kuanyama,kua,kj
Kurdish,kur,ku
Lao,lao,lo
Latin,lat,la
Latvian,lav,lv
Limburgan,lim,li
Lingala,lin,ln
Lithuanian,lit,lt
Luxembourgish,ltz,lb
Luba-Katanga,lub,lu
Ganda,lug,lg
Marshallese,mah,mh
Malayalam,mal,ml
Marathi,mar,mr
Macedonian,mkd,mk
Malagasy,mlg,mg
Maltese,mlt,mt
Mongolian,mon,mn
Maori,mri,mi
Malay,msa,ms
Burmese,mya,my
Nauru,nau,na
Navajo,nav,nv
South Ndebele,nbl,nr
North Ndebele,nde,nd
Ndonga,ndo,ng
Nepali,nep,ne
Dutch,nld,nl
Norwegian Nynorsk,nno,nn
Norwegian Bokmål,nob,nb
Norwegian,nor,no
Nyanja,nya,ny
Occitan,oci,oc
Ojibwa,oji,oj
Oriya,ori,or
Oromo,orm,om
Ossetian,oss,os
Panjabi,pan,pa
Pali,pli,pi
Polish,pol,pl
Portuguese,por,pt
Pushto,pus,ps
Quechua,que,qu
Romansh,roh,rm
Romanian,ron,ro
Rundi,run,rn
Russian,rus,ru
Sango,sag,sg
Sanskrit,san,sa
Sinhala,sin,si
Slovak,slk,sk
Slovenian,slv,sl
Northern Sami,sme,se
Samoan,smo,sm
Shona,sna,sn
Sindhi,snd,sd
Somali,som,so
Southern Sotho,sot,st
Spanish,spa,es
Albanian,sqi,sq
Sardinian,srd,sc
Serbian,srp,sr
Swati,ssw,ss
Sundanese,sun,su
Swahili,swa,sw
Swedish,swe,sv
Tahitian,tah,ty
Tamil,tam,ta
Tatar,tat,tt
Telugu,tel,te
Tajik,tgk,tg
Tagalog,tgl,tl
Thai,tha,th
Tigrinya,tir,ti
Tonga,ton,to
Tswana,tsn,tn
Tsonga,tso,ts
Turkmen,tuk,tk
Turkish,tur,tr
Twi,twi,tw
Uighur,uig,ug
Ukrainian,ukr,uk
Urdu,urd,ur
Uzbek,uzb,uz
Venda,ven,ve
Vietnamese,vie,vi
Volapuk,vol,vo
Walloon,wln,wa
Wolof,wol,wo
Xhosa,xho,xh
Yiddish,yid,yi
Yoruba,yor,yo
Zhuang,zha,za
Chinese,zho,zh
Zulu,zul,zu
